clado1,mu1,K1,gam1,ana1,clado2,mu2,K2,gam2,ana2
0.287604359,0.224535466,Inf,0.000261114,1.323145461,0.287604359,0.408708361,Inf,0.030916968,1.323145461
0.296375778,0.251385968,Inf,0.000326293,1.514016129,0.296375778,0.434663841,Inf,0.033933704,1.514016129
0.311180003,0.265604733,Inf,0.000337303,1.461996315,0.311180003,0.440822942,Inf,0.033238363,1.461996315
0.362011129,0.294865421,Inf,0.000306095,1.587576292,0.362011129,0.50210713,Inf,0.037062497,1.587576292
0.323554493,0.270389068,Inf,0.000320436,1.350640844,0.323554493,0.452630748,Inf,0.033736135,1.350640844
0.262108471,0.207755502,Inf,0.000264826,1.393239949,0.262108471,0.376273168,Inf,0.028800688,1.393239949
0.324968442,0.283537706,Inf,0.000366871,1.35232712,0.324968442,0.457375056,Inf,0.034284147,1.35232712
0.326117186,0.268186444,Inf,0.000306469,1.383131933,0.326117186,0.462466601,Inf,0.034989902,1.383131933
0.333452023,0.282691957,Inf,0.00033765,1.803035916,0.333452023,0.452820781,Inf,0.03261315,1.803035916
0.298327697,0.248146081,Inf,0.000309075,1.321253926,0.298327697,0.438547932,Inf,0.034349386,1.321253926
0.323253521,0.282107254,Inf,0.000366388,1.136564337,0.323253521,0.446679839,Inf,0.032891878,1.136564337
0.287666742,0.241561275,Inf,0.000314125,1.929046813,0.287666742,0.425646817,Inf,0.03347953,1.929046813
0.285548143,0.24334544,Inf,0.000326965,1.372308269,0.285548143,0.417264781,Inf,0.032407856,1.372308269
0.321524601,0.269023732,Inf,0.000320954,2.648981129,0.321524601,0.472413009,Inf,0.036798626,2.648981129
0.290079586,0.240782825,Inf,0.000305021,1.295529667,0.290079586,0.411848398,Inf,0.031116986,1.295529667
0.33771117,0.282039202,Inf,0.000323897,1.404583627,0.33771117,0.483368948,Inf,0.036859323,1.404583627
0.329265459,0.276958171,Inf,0.000328258,1.551300629,0.329265459,0.472263616,Inf,0.036093224,1.551300629
0.299913633,0.255148219,Inf,0.000330329,1.437718543,0.299913633,0.432757399,Inf,0.033208848,1.437718543
0.296753039,0.245460672,Inf,0.000304034,1.622404723,0.296753039,0.435514403,Inf,0.033944079,1.622404723
0.311771476,0.264223646,Inf,0.000330108,1.809142112,0.311771476,0.456625472,Inf,0.035622707,1.809142112
0.279755352,0.231113762,Inf,0.000298166,1.539891917,0.279755352,0.409172714,Inf,0.031838342,1.539891917
0.306464242,0.256905083,Inf,0.000318497,1.758615501,0.306464242,0.447157671,Inf,0.034739021,1.758615501
0.284595861,0.237926622,Inf,0.00030973,1.424473001,0.284595861,0.409447457,Inf,0.031341036,1.424473001
0.26803544,0.215924358,Inf,0.000276453,1.540996699,0.26803544,0.390890737,Inf,0.030257554,1.540996699
0.331089449,0.28944518,Inf,0.000371584,1.780947266,0.331089449,0.458096419,Inf,0.033722101,1.780947266
0.342955879,0.291147376,Inf,0.000341623,1.582944752,0.342955879,0.470417459,Inf,0.03430346,1.582944752
0.313244133,0.255001501,Inf,0.000295373,1.394647206,0.313244133,0.455700872,Inf,0.035269374,1.394647206
0.323733723,0.28314458,Inf,0.000369258,1.557699585,0.323733723,0.461510286,Inf,0.035023279,1.557699585
